score,company,bucket,region,province,city,sector,source,mentions,hook,url,website,contact,phone,stage,scanned
43.0,Globalrose.com LLC,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750180/globalrosecom-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,"TORAY MEMBRANE USA, INC.",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750136/toray-membrane-usa-inc-v-us-customs-border-protection/,,,,Lead,2026-09-14
43.0,"Birkenstock USA, LP",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74750026/birkenstock-usa-lp-v-united-states/,,,,Lead,2026-09-14
43.0,"La Ville Imports, Inc.",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74749799/la-ville-imports-inc-v-donald-j-trump-in-his-official-capacity-as/,,,,Lead,2026-09-14
43.0,Batrik Medical Manufacturing Inc.,B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74748335/batrik-medical-manufacturing-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"Tolsa USA, INC.",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74748121/tolsa-usa-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"Anaya Steel, LLC",B/large,US,,,other,CIT,,Sued at CIT (IEEPA tariff refund); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74748016/anaya-steel-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,"Cafe & Co, LLC",B/large,US,,,other,CIT,2,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74747368/cafe-co-llc-v-president-donald-j-trump/,,,,Lead,2026-09-14
43.0,"Green New Energy Materials, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74701591/green-new-energy-materials-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"HOMAG Machinery North America, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74691275/homag-machinery-north-america-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"Psycho Bunny, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74691155/psycho-bunny-inc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,Bogen Communications LLC,B/large,US,,,other,CIT,2,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74686875/bogen-communications-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,In Re Section 301 Forced Labor Cases,B/large,US,,,other,CIT,2,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/74219533/in-re-section-301-forced-labor-cases/,,,,Lead,2026-09-14
43.0,Kruger Products Inc.,B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73735630/kruger-products-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"Yapp USA Automotive Systems, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73729222/yapp-usa-automotive-systems-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"STEC USA, INC.",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73729025/stec-usa-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"Xin Point North America, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73728691/xin-point-north-america-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"NBJX North America, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73721933/nbjx-north-america-inc-v-united-states/,,,,Lead,2026-09-14
43.0,Simko North America LLC,B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73716463/simko-north-america-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,The State of Oregon,B/large,US,,,other,CIT,3,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73711779/the-state-of-oregon-v-donald-j-trump/,,,,Lead,2026-09-14
43.0,"Learning Resources, Inc.",B/large,US,,,other,CIT,2,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73668290/learning-resources-inc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,"Burlap and Barrel, Inc.",B/large,US,,,other,CIT,3,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73667352/burlap-and-barrel-inc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,Generic Crop Science LLC,B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73666319/generic-crop-science-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,"Zonkd, LLC",B/large,US,,,other,CIT,2,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation. / Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73626253/zonkd-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,"Citizens of Humanity, LLC",B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73522075/citizens-of-humanity-llc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,Pipe & Piling Supplies Ltd.,B/large,US,,,other,CIT,,Sued at CIT (Section 122 tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73518896/pipe-piling-supplies-ltd-v-united-states/,,,,Lead,2026-09-14
43.0,"Shenzhen Bitland Information Technology Co., Ltd.",B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73478411/shenzhen-bitland-information-technology-co-ltd-v-united-states/,,,,Lead,2026-09-14
43.0,Aredien Corp,B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/73435157/aredien-corp-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,Maui and Hector's Dolphin Defenders NZ Inc.,B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/72615251/maui-and-hectors-dolphin-defenders-nz-inc-v-national-marine-fisheries/,,,,Lead,2026-09-14
43.0,Smirk & Dagger Games,B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/72515100/smirk-dagger-games-v-trump/,,,,Lead,2026-09-14
43.0,"Atmus Filtration, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/72339861/atmus-filtration-inc-v-united-states/,,,,Lead,2026-09-14
43.0,"Freestyle World, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/72304044/freestyle-world-inc-v-united-states-of-america/,,,,Lead,2026-09-14
43.0,"Northwest River Supplies, Inc.",B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/72064711/northwest-river-supplies-inc-v-trump/,,,,Lead,2026-09-14
43.0,Marine Lumber Company,B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/71998916/marine-lumber-company-v-united-states/,,,,Lead,2026-09-14
43.0,Principal Trading LLC,B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/71990952/principal-trading-llc-v-united-states/,,,,Lead,2026-09-14
43.0,"Strato Technology Solutions, LLC",B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/71978441/strato-technology-solutions-llc-v-united-states/,,,,Lead,2026-09-14
43.0,AGS Company Automotive Solutions,B/large,US,,,other,CIT,,Sued at CIT (Section 301 forced labor tariff); exposed and sophisticated — ask about unfiled entries and 122/301 preservation.,https://www.courtlistener.com/docket/71898481/ags-company-automotive-solutions-v-united-states-customs-and-border/,,,,Lead,2026-09-14
38.0,Sonos Inc ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001314727/000131472726000081/final3q26earningspressrele.htm,,,,Lead,2026-09-14
38.0,ALPHA PRO TECH LTD ,B/large,US,,,other,EDGAR,15,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000884269/000143774926026551/apt20260630_10q.htm,,,,Lead,2026-09-14
38.0,G III APPAREL GROUP LTD /DE/ ,B/large,US,,,other,EDGAR,20,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000821002/000110465926070742/giii-20260605xex99d1.htm,,,,Lead,2026-09-14
38.0,ABERCROMBIE & FITCH CO /DE/ ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001018840/000101884026000041/q22026pressrelease.htm,,,,Lead,2026-09-14
38.0,Medline Inc. ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0002046386/000204638626000049/ex9912q26pressrelease.htm,,,,Lead,2026-09-14
38.0,"Bob's Discount Furniture, Inc. ",B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0002085187/000162828026053807/ex991-earningsreleasexq220.htm,,,,Lead,2026-09-14
38.0,DIXIE GROUP INC ,B/large,US,,,other,EDGAR,15,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000029332/000002933226000027/pressreleaseq12026.htm,,,,Lead,2026-09-14
38.0,BUILD-A-BEAR WORKSHOP INC ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001113809/000143774926018669/ex_968979.htm,,,,Lead,2026-09-14
38.0,NEWELL BRANDS INC. ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000814453/000081445326000029/nwl-20260630.htm,,,,Lead,2026-09-14
38.0,EXPEDITORS INTERNATIONAL OF WASHINGTON INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000746515/000119312526232738/expd-20260520.htm,,,,Lead,2026-09-14
38.0,MOVADO GROUP INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000072573/000095014226002427/eh260824240_ex9901.htm,,,,Lead,2026-09-14
38.0,CARDINAL HEALTH INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000721371/000072137126000037/a26q4_x063026xex991xnewsre.htm,,,,Lead,2026-09-14
38.0,NEPHROS INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001196298/000149315226036851/form10-q.htm,,,,Lead,2026-09-14
38.0,Capri Holdings Ltd ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001530721/000153072126000044/cpri8-k03282026exhibit991.htm,,,,Lead,2026-09-14
38.0,"YETI Holdings, Inc. ",B/large,US,,,other,EDGAR,15,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001670592/000167059226000039/yeti-20260813xex991pressre.htm,,,,Lead,2026-09-14
38.0,REGAL REXNORD CORP ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000082811/000008281126000226/a2q2026earningsannouncement.htm,,,,Lead,2026-09-14
38.0,Victoria's Secret & Co. ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001856437/000185643726000021/vsco-20260801.htm,,,,Lead,2026-09-14
38.0,WEYCO GROUP INC ,B/large,US,,,other,EDGAR,20,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000106532/000110465926055618/weys-20260505xex99d1.htm,,,,Lead,2026-09-14
38.0,HAVERTY FURNITURE COMPANIES INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000216085/000162828026052124/ex991-hvtearningsreleasex2.htm,,,,Lead,2026-09-14
38.0,"Fossil Group, Inc. ",B/large,US,,,other,EDGAR,15,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000883569/000088356926000035/q12026ex991.htm,,,,Lead,2026-09-14
38.0,CROWN CRAFTS INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000025895/000143774926027350/crws20260629_10q.htm,,,,Lead,2026-09-14
38.0,Karat Packaging Inc. ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001758021/000175802126000026/krt-20260630.htm,,,,Lead,2026-09-14
38.0,"STEVEN MADDEN, LTD. ",B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000913241/000162828026032774/shoo-20260331.htm,,,,Lead,2026-09-14
38.0,"TAPESTRY, INC. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001116132/000114036126032624/ef20079840_ex99-1.htm,,,,Lead,2026-09-14
38.0,TJX COMPANIES INC /DE/ ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000109198/000010919826000045/tjxq2fy27earningspressrele.htm,,,,Lead,2026-09-14
38.0,"Floor & Decor Holdings, Inc. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001507079/000162828026051069/fnd-20260625.htm,,,,Lead,2026-09-14
38.0,WILLIAMS SONOMA INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000719955/000071995526000203/exhibit991fy2026q2earnings.htm,,,,Lead,2026-09-14
38.0,CARTERS INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001060822/000106082226000109/cri-20260704.htm,,,,Lead,2026-09-14
38.0,"Bark, Inc. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001819574/000162828026020511/pressreleasedated3232026.htm,,,,Lead,2026-09-14
38.0,LCI INDUSTRIES ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000763744/000076374426000070/lcii-20260630.htm,,,,Lead,2026-09-14
38.0,COLUMBIA SPORTSWEAR CO ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001050797/000105079726000129/cfocommentaryq22026_vf.htm,,,,Lead,2026-09-14
38.0,"MasterBrand, Inc. ",B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001941365/000194136526000072/mbc-20260628.htm,,,,Lead,2026-09-14
38.0,KOHLS Corp ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000885639/000119312526381893/kss-20260801.htm,,,,Lead,2026-09-14
38.0,"American Outdoor Brands, Inc. ",B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001808997/000180899726000033/aout-usq_transcriptx2026x0.htm,,,,Lead,2026-09-14
38.0,V F CORP ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000103379/000010337926000114/vfc-20260627.htm,,,,Lead,2026-09-14
38.0,"GoPro, Inc. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001500435/000150043526000036/gpro-20260630.htm,,,,Lead,2026-09-14
38.0,MOOG INC. ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000067887/000162828026051250/ex991-73126.htm,,,,Lead,2026-09-14
38.0,HELEN OF TROY LTD ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000916789/000091678926000096/hele-20260531.htm,,,,Lead,2026-09-14
38.0,ULTRALIFE CORP ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000875657/000143774926026573/ex_1001163.htm,,,,Lead,2026-09-14
38.0,Designer Brands Inc. ,B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001319947/000131994726000050/dsw-20260801.htm,,,,Lead,2026-09-14
38.0,Varex Imaging Corp ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001681622/000168162226000063/var-20260703.htm,,,,Lead,2026-09-14
38.0,GLOBAL INDUSTRIAL Co ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000945114/000162828026052687/gic-20260630.htm,,,,Lead,2026-09-14
38.0,GAP INC ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000039911/000162828026059262/q22026eprexhibit991.htm,,,,Lead,2026-09-14
38.0,"Microvast Holdings, Inc. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001760689/000162828026055471/mvst2026q2ex991earningspre.htm,,,,Lead,2026-09-14
38.0,Fortive Corp ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001659166/000165916626000033/ftv-q2x2026xearningsxpress.htm,,,,Lead,2026-09-14
38.0,"Keysight Technologies, Inc. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001601046/000160104626000036/keys-20260731.htm,,,,Lead,2026-09-14
38.0,BRUNSWICK CORP ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000014930/000001493026000087/q22026exhibit99_1.htm,,,,Lead,2026-09-14
38.0,"Petco Health & Wellness Company, Inc. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001826470/000119312526380189/woof-ex99_1.htm,,,,Lead,2026-09-14
38.0,"Kontoor Brands, Inc. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001760965/000176096526000027/a2026q1ktberexhibit991.htm,,,,Lead,2026-09-14
38.0,"Traeger, Inc. ",B/large,US,,,other,EDGAR,10,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0001857853/000162828026033467/q1-26earningspressrelease.htm,,,,Lead,2026-09-14
38.0,"ROCKY BRANDS, INC. ",B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000895456/000143774926025672/rcky20260630_10q.htm,,,,Lead,2026-09-14
38.0,Clarus Corp ,B/large,US,,,other,EDGAR,5,Disclosed IEEPA exposure in SEC filing; check paid vs accepted vs received.,https://www.sec.gov/Archives/edgar/data/0000913277/000110465926092045/tm2622357d1_ex99-2.htm,,,,Lead,2026-09-14
